6.5,200,270
6.5,400,510
6.5,600,770
6.5,800,1020
8,200,205
8,400,410
8,600,620
8,800,825
10,200,175
10,400,325
10,600,500
10,800,670
12,200,140
12,400,280
12,600,415
12,800,560
14,200,120
14,400,230
14,600,360
14,800,480
16,200,105
16,400,205
16,600,310
16,800,415
18,200,90
18,400,185
18,600,275
18,800,370
19,200,85
19,400,175
19,600,270
19,800,355
21,200,80
21,400,160
21,600,240
21,800,320
24,200,70
24,400,140
24,600,210
24,800,275
26,200,65
26,400,125
26,600,190
26,800,260
28,200,57
28,400,120
28,600,180
28,800,240